Run Name,180725_dPPR10_only
Run Date,12:40:53 PM   07-26-18
Method Name,S200_5/150 FRET_WL
Export Format Version, 1.00
Method ID, 9545
Points/Second, 5.00
Number of Records,   6260
Offset from Run Start Time,00:00:00
Run End Time,00:20:53
Time,Second
QuadTec 1, (280.0 nm), AU
QuadTec 2, (260.0 nm), AU
Gradient Pump,<Not Selected>
Trace 3,<Not Selected>
Trace 4,<Not Selected>
Trace 5,<Not Selected>
Trace 6,<Not Selected>
GP Pressure,<Not Selected>
Volume,<Not Selected>
Fraction,<Not Available>
Time,QuadTec 1,QuadTec 2
    57.4,0.000386,0.000156
    57.6,0.000379,0.000162
    57.8,0.000387,0.000157
    58.0,0.000386,0.000156
    58.2,0.000379,0.000156
    58.4,0.000372,0.000151
    58.6,0.000372,0.000150
    58.8,0.000372,0.000150
    59.0,0.000379,0.000150
    59.2,0.000380,0.000156
    59.4,0.000394,0.000156
    59.6,0.000380,0.000152
    59.8,0.000393,0.000156
    60.0,0.000393,0.000152
    60.2,0.000386,0.000146
    60.4,0.000393,0.000154
    60.6,0.000393,0.000142
    60.8,0.000400,0.000150
    61.0,0.000393,0.000145
    61.2,0.000399,0.000155
    61.4,0.000392,0.000150
    61.6,0.000393,0.000156
    61.8,0.000399,0.000156
    62.0,0.000413,0.000157
    62.2,0.000413,0.000153
    62.4,0.000420,0.000154
    62.6,0.000413,0.000148
    62.8,0.000413,0.000155
    63.0,0.000406,0.000155
    63.2,0.000399,0.000151
    63.4,0.000399,0.000155
    63.6,0.000392,0.000155
    63.8,0.000399,0.000155
    64.0,0.000392,0.000155
    64.2,0.000399,0.000155
    64.4,0.000392,0.000144
    64.6,0.000399,0.000148
    64.8,0.000413,0.000148
    65.0,0.000413,0.000148
    65.2,0.000419,0.000143
    65.4,0.000419,0.000154
    65.6,0.000419,0.000148
    65.8,0.000419,0.000155
    66.0,0.000405,0.000155
    66.2,0.000405,0.000155
    66.4,0.000398,0.000160
    66.6,0.000412,0.000155
    66.8,0.000405,0.000159
    67.0,0.000405,0.000158
    67.2,0.000413,0.000162
    67.4,0.000412,0.000152
    67.6,0.000413,0.000162
    67.8,0.000412,0.000156
    68.0,0.000419,0.000160
    68.2,0.000411,0.000150
    68.4,0.000411,0.000155
    68.6,0.000411,0.000155
    68.8,0.000411,0.000155
    69.0,0.000411,0.000166
    69.2,0.000411,0.000167
    69.4,0.000411,0.000167
    69.6,0.000412,0.000173
    69.8,0.000405,0.000173
    70.0,0.000398,0.000173
    70.2,0.000412,0.000173
    70.4,0.000419,0.000178
    70.6,0.000425,0.000174
    70.8,0.000425,0.000169
    71.0,0.000432,0.000168
    71.2,0.000438,0.000167
    71.4,0.000425,0.000171
    71.6,0.000418,0.000170
    71.8,0.000418,0.000179
    72.0,0.000418,0.000179
    72.2,0.000418,0.000184
    72.4,0.000424,0.000179
    72.6,0.000418,0.000175
    72.8,0.000425,0.000165
    73.0,0.000425,0.000155
    73.2,0.000425,0.000160
    73.4,0.000425,0.000160
    73.6,0.000425,0.000164
    73.8,0.000418,0.000169
    74.0,0.000432,0.000169
    74.2,0.000425,0.000178
    74.4,0.000439,0.000179
    74.6,0.000439,0.000183
    74.8,0.000432,0.000183
    75.0,0.000432,0.000183
    75.2,0.000432,0.000188
    75.4,0.000432,0.000183
    75.6,0.000439,0.000183
    75.8,0.000438,0.000184
    76.0,0.000431,0.000180
    76.2,0.000438,0.000184
    76.4,0.000438,0.000185
    76.6,0.000438,0.000190
    76.8,0.000431,0.000190
    77.0,0.000439,0.000190
    77.2,0.000439,0.000190
    77.4,0.000446,0.000016
    77.6,0.000446,0.000016
    77.8,0.000446,0.000016
    78.0,0.000446,0.000010
    78.2,0.000006,0.000006
    78.4,0.000006,0.000007
    78.6,-0.000002,0.000010
    78.8,0.000006,0.000017
    79.0,0.000006,0.000016
    79.2,0.000006,0.000015
    79.4,-0.000008,0.000008
    79.6,-0.000008,0.000010
    79.8,-0.000015,0.000014
    80.0,-0.000002,0.000012
    80.2,-0.000009,0.000007
    80.4,-0.000002,0.000006
    80.6,-0.000009,0.000000
    80.8,-0.000009,0.000004
    81.0,-0.000016,-0.000001
    81.2,-0.000023,-0.000005
    81.4,-0.000030,-0.000010
    81.6,-0.000023,-0.000010
    81.8,-0.000023,-0.000010
    82.0,-0.000023,-0.000009
    82.2,-0.000030,-0.000013
    82.4,-0.000023,-0.000012
    82.6,-0.000015,-0.000017
    82.8,-0.000015,-0.000021
    83.0,-0.000016,-0.000021
    83.2,-0.000023,-0.000025
    83.4,-0.000023,-0.000030
    83.6,-0.000023,-0.000030
    83.8,-0.000023,-0.000030
    84.0,-0.000023,-0.000025
    84.2,-0.000022,-0.000021
    84.4,-0.000022,-0.000021
    84.6,-0.000036,-0.000016
    84.8,-0.000029,-0.000020
    85.0,-0.000035,-0.000019
    85.2,-0.000036,-0.000010
    85.4,-0.000036,-0.000016
    85.6,-0.000029,-0.000012
    85.8,-0.000029,-0.000012
    86.0,-0.000022,-0.000013
    86.2,-0.000029,-0.000023
    86.4,-0.000029,-0.000023
    86.6,-0.000029,-0.000017
    86.8,-0.000029,-0.000017
    87.0,-0.000021,-0.000021
    87.2,-0.000028,-0.000020
    87.4,-0.000028,-0.000020
    87.6,-0.000028,-0.000019
    87.8,-0.000028,-0.000024
    88.0,-0.000028,-0.000029
    88.2,-0.000035,-0.000024
    88.4,-0.000041,-0.000024
