20191126_IMAC2,20191126_IMAC2,20191126_IMAC2,20191126_IMAC2,20191126_IMAC2,20191126_IMAC2
UV1 (260 nm)_volume,UV1 (260 nm)_mAU,UV2 (280 nm)_volume,UV2 (280 nm)_mAU,%B_volume,%B_%
0.401323169469833,0.319000013405457,0.401323169469833,1.9620000384748,1.0039427280426,0
0.407990217208862,0.319000013405457,0.407990217208862,1.9620000384748,1.0122766494751,0
0.414657264947891,0.367000000551343,0.414657264947891,1.985999988392,1.02061057090759,0
0.42132431268692,0.411999993957579,0.42132431268692,2.02900008298457,1.02894449234009,0
0.427991360425949,0.455000001238659,0.427991360425949,2.06999992951751,1.03727841377258,0
0.434658408164978,0.464000011561438,0.434658408164978,2.08200002089143,1.04561221599579,0
0.441325485706329,0.491000013425946,0.441325485706329,2.08300002850592,1.05394613742828,0
0.447992533445358,0.522000016644597,0.447992533445358,2.10699997842312,1.06227993965149,0
0.454659581184387,0.52900001173839,0.454659581184387,2.12999992072582,1.07061386108398,0
0.461326628923416,0.554000027477741,0.461326628923416,2.12400010786951,1.07894766330719,0
