10		10		10		10		10		10		10		10		10		10	
Emma K 15032024 SFPQ FL 2x 800 mL cultures 9 mL loop001:10_UV		Emma K 15032024 SFPQ FL 2x 800 mL cultures 9 mL loop001:10_Cond		Emma K 15032024 SFPQ FL 2x 800 mL cultures 9 mL loop001:10_Cond%		Emma K 15032024 SFPQ FL 2x 800 mL cultures 9 mL loop001:10_Conc		Emma K 15032024 SFPQ FL 2x 800 mL cultures 9 mL loop001:10_Pressure		Emma K 15032024 SFPQ FL 2x 800 mL cultures 9 mL loop001:10_Flow		Emma K 15032024 SFPQ FL 2x 800 mL cultures 9 mL loop001:10_Temp		Emma K 15032024 SFPQ FL 2x 800 mL cultures 9 mL loop001:10_Fractions		Emma K 15032024 SFPQ FL 2x 800 mL cultures 9 mL loop001:10_Inject		Emma K 15032024 SFPQ FL 2x 800 mL cultures 9 mL loop001:10_Logbook	
ml	 mAU	ml	 mS/cm	ml	 %	ml	 %B	ml	 MPa	ml	 ml/min	ml	 °C	ml	(Fractions)	ml	(Injections)	ml	(Set Marks)
   7.674	 2007.392000	   7.997	   54.792000	   7.997	   54.800000	   7.997	  100.000000	   7.997	    0.000000	   7.997	    1.000000	   7.996	   24.800000	 105.000	 "49"	         	            	   8.990	 "Base SameAsMain"
   7.834	 2007.428000	   8.163	   54.799000	   8.163	   54.800000	   8.163	  100.000000	   8.163	    0.000000	   8.163	    1.000000	   8.162	   24.800000	 107.000	 "50"	         	            	   8.990	 "SystemPumpControlMode Normal ,    0.000 MPa,    0.100 ml/min"
   7.993	 2007.446000	   8.330	   54.805000	   8.330	   54.800000	   8.330	  100.000000	   8.330	    0.000000	   8.330	    1.000000	   8.329	   24.800000	 109.000	 "51"	         	            	   8.990	 "Block Delay0p02min"
   8.153	 2007.418000	   8.496	   54.801000	   8.496	   54.800000	   8.496	  100.000000	   8.496	    0.000000	   8.496	    1.000000	   8.496	   24.800000	 111.000	 "52"	         	            	   8.990	 "Base Time {min}"
   8.313	 2007.393000	   8.663	   54.801000	   8.663	   54.800000	   8.663	  100.000000	   8.663	    0.000000	   8.663	    1.000000	   8.662	   24.800000	 113.000	 "53"	         	            	   9.010	 "End Block"
   8.473	 2007.514000	   8.830	   54.801000	   8.830	   54.800000	   8.830	  100.000000	   8.830	    0.000000	   8.830	    1.000000	   8.829	   24.800000	 115.000	 "54"	         	            	   9.010	 "End Block"
   8.633	 2007.506000	   8.996	   54.807000	   8.996	   54.800000	   8.996	  100.000000	   8.996	    0.000000	   8.996	    1.000000	   8.995	   24.800000	 117.000	 "55"	         	            	   9.010	 "Block Fractionation"
   8.793	 2007.505000	   9.163	   54.822000	   9.163	   54.800000	   9.163	  100.000000	   9.163	    0.000000	   9.163	    1.000000	   9.162	   24.800000	 119.000	 "56"	         	            	   9.010	 "Base SameAsMain"
   8.953	 2007.651000	   9.329	   54.878000	   9.329	   54.900000	   9.329	  100.000000	   9.329	    0.000000	   9.329	    1.000000	   9.328	   24.800000	 121.000	 "57"	         	            	   9.010	 "Fractionation_900    2.000 ml"
   9.113	 2007.312000	   9.496	   54.897000	   9.496	   54.900000	   9.496	  100.000000	   9.496	    0.000000	   9.496	    1.000000	   9.495	   24.800000	 123.000	 "58"	         	            	   9.010	 "Peak_Fractionation_900    0.000 ml"
